"Well","Sample","Target","Concentration","CopiesPer20uLWell","AcceptedDroplets","Positives","Negatives","sample_characters","control_check","sample_name_check15","accepted_droplet_limit2","accepted_droplet_count2","ntc_control_check3","pos_control_check4","pos_control_breakdown","negvalue_control_check55","ext_neg_control_check6","sample_wells_positives7","sample_wells_negatives75","sample_pos_limit_flag9","plate_name"
"G04","NEG","FLUA",0,0,18470,0,18470,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G05","NEG","FLUA",0,0,17669,0,17669,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G06","NEG","FLUA",0,0,17591,0,17591,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F04","POS","FLUA",26.34729767,526.9459229,16258,337,15921,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F05","POS","FLUA",24.49946404,489.9892883,16953,327,16626,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F06","POS","FLUA",26.72555733,534.5111694,17933,377,17556,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H04","NTC","FLUA",0,0,15946,0,15946,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H05","NTC","FLUA",0,0,15236,0,15236,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H06","NTC","FLUA",0,0,17080,0,17080,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G04","NEG","FLUB",0,0,18470,0,18470,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G05","NEG","FLUB",0,0,17669,0,17669,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G06","NEG","FLUB",0,0,17591,0,17591,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F04","POS","FLUB",20.82896996,416.5794067,16258,267,15991,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F05","POS","FLUB",19.74212456,394.8424988,16953,264,16689,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F06","POS","FLUB",21.22068405,424.4136963,17933,300,17633,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H04","NTC","FLUB",0,0,15946,0,15946,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H05","NTC","FLUB",0,0,15236,0,15236,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H06","NTC","FLUB",0,0,17080,0,17080,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G04","NEG","RSV",0,0,18470,0,18470,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G05","NEG","RSV",0,0,17669,0,17669,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G06","NEG","RSV",0,0,17591,0,17591,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F04","POS","RSV",23.66394234,473.2788391,16258,303,15955,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F05","POS","RSV",26.92279816,538.4559326,16953,359,16594,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F06","POS","RSV",24.22035599,484.4071045,17933,342,17591,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H04","NTC","RSV",0,0,15946,0,15946,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H05","NTC","RSV",0,0,15236,0,15236,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H06","NTC","RSV",0,0,17080,0,17080,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G04","NEG","SC2",0,0,18470,0,18470,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G05","NEG","SC2",0,0,17669,0,17669,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G06","NEG","SC2",0,0,17591,0,17591,3,"Control",,0,0,0,,,0,0,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F04","POS","SC2",21.14365005,422.8729858,16258,271,15987,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F05","POS","SC2",19.89287567,397.8575134,16953,266,16687,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F06","POS","SC2",21.43471146,428.6942139,17933,303,17630,3,"Control",,0,0,0,0,0,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H04","NTC","SC2",0,0,15946,0,15946,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H05","NTC","SC2",0,0,15236,0,15236,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H06","NTC","SC2",0,0,17080,0,17080,3,"Control",,0,0,0,,,,,,,0,"03.25.26_GT_fiveplex1_QX600.csv"
