"Sample","initial_volume_analyzed_mL","final_concentrate_volume_mL"
"26BB260317I",40,1.2
"26CC260317I",40,1.2
"26JJ260317I",40,1.5
"23MM260312I",40,1.5
"23MM260314I",40,1.7
"23MM260315I",40,1.4
"26LL260318I",40,1.7
"26HH260316I",40,1.7
"26BB260322I",40,1.8
"26CC260322I",40,0.8
"26JJ260322I",40,2.9
"26LL260323I",40,2
"26HH260322I",40,2.2
"26BB260327I",40,1.9
"26BB260329I",40,1.8
"26CC260326I",40,1.75
"26CC260329I",40,1.1
"26JJ260327I",40,1
"26JJ260329I",40,2.9
"26LL260327I",40,1.6
"26LL260328I",40,2.1
"26LL260329I",40,1.6
"26LL260330I",40,2.5
"26HH260326I",40,2.6
"26HH260327I",40,2.4
"26BB260331I",40,2.8
"26BB260403I",40,1.4
"26BB260405I",40,1.05
"26CC260402I",40,1.3
"26CC260405I",40,1.3
"26JJ260331I",40,1.95
"26JJ260402I",40,1.8
"26JJ260403I",40,1.2
"26JJ260405I",40,2
"26LL260331I",40,1.7
"26LL260401I",40,1.7
"26LL260403I",40,1.8
"26LL260406I",40,1.6
"26HH260401I",40,1.4
"26BB260406I",40,1.85
"26BB260408I",40,1.1
"26CC260406I",40,1.3
"26CC260408I",40,1.8
"23MM260331I",40,1.4
"23MM260401I",40,1.45
"23MM260405I",40,1.5
"23MM260406I",40,1.6
"26HH260405I",40,1.8
"26HH260406I",40,1.05
"26HH260407I",40,1.5
"26BB260410I",40,0.95
"26BB260412I",40,1.3
"26CC260409I",40,1.3
"26JJ260407I",40,2.8
"26JJ260409I",40,2
"26JJ260410I",40,2.05
"26JJ260412I",40,2.4
"26LL260408I",40,3
"26LL260410I",40,1.65
"26LL260412I",40,1.4
"26LL260413I",40,2
"26HH260409I",40,1.2
"26HH260411I",40,2.2
