Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
F04,POS,,,,FluA,26.34729767,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,526.9459229,,,29.16354942,23.53734016,16258,337,15921,0,2.492218494,,,2.890785561,2.093651393,2,,3148.271973,,,6.045841206,57.53619138,SC2,1.246109238,,,1.44539278,1.046825696,55.47856788,,,59.42868239,51.52845337,5246.851691,814.4002213,906.2772139,,,,,27.78337288,24.91286278,,,2.695568679,2.288868274,,,1.34778434,1.144434137,,,57.49392895,53.46320681,No,4,333,245,15676,2,301,265,15690,0,0,0,0
F05,POS,,,,FluA,24.49946404,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,489.9892883,,,27.15776634,21.84676743,16953,327,16626,0,2.463139534,,,2.861763976,2.064515047,2,,3148.271973,,,5.326419783,56.19059288,SC2,1.231569756,,,1.430881988,1.032257524,55.18849468,,,59.19082583,51.18616352,5220.696224,824.1068807,908.9110284,,,,,25.8550396,23.1453476,,,2.666519078,2.259759946,,,1.333259539,1.129879973,,,57.23049773,53.14649162,No,2,325,226,16400,8,351,256,16338,0,0,0,0
F06,POS,,,,FluA,26.72555733,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,534.5111694,,,29.42632103,24.03058243,17933,377,17556,0.114571628,2.49367094,,,2.870777928,2.116563727,2,,3148.271973,,,7.029062029,60.87771522,SC2,1.246835414,,,1.435388964,1.058281864,55.49295717,,,59.22797081,51.75794352,5164.676782,822.9274515,914.202726,,,,,28.10277367,25.34984779,,,2.686072347,2.301269308,,,1.343036174,1.150634654,,,57.39857576,53.58733857,No,7,370,251,17305,3,339,297,17294,0,0,0,0
F04,POS,,,,FluB,20.82896996,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,416.5794067,,,23.32991791,18.33298302,16258,267,15991,0,1.970234036,,,2.303223441,1.637244718,2,,2458.194092,,,3.621102534,25.98767619,SC2,0.98511704,,,1.151611721,0.818622359,49.62513646,,,53.85015023,45.40012269,4243.135289,786.5171646,843.2841126,,,,,22.10434151,19.55488777,,,2.140126368,1.800341792,,,1.070063184,0.900170896,,,51.78075264,47.46952028,No,4,333,245,15676,2,301,265,15690,0,0,0,0
F05,POS,,,,FluB,19.74212456,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,394.8424988,,,22.12589264,17.36286736,16953,264,16689,0.185519782,1.984843731,,,2.322817167,1.64687025,2,,2458.194092,,,3.232343802,26.503304,SC2,0.992421854,,,1.161408583,0.823435125,49.80982577,,,54.06669204,45.5529595,4257.432753,794.9259774,848.8457431,,,,,20.95776749,18.52765465,,,2.157278904,1.812408512,,,1.078639452,0.906204256,,,51.98169327,47.63795827,No,2,325,226,16400,8,351,256,16338,0,0,0,0
F06,POS,,,,FluB,21.22068405,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,424.4136963,,,23.62435341,18.82159805,17933,300,17633,0,1.980029821,,,2.296119415,1.663940247,2,,2458.194092,,,2.899678289,27.02130709,SC2,0.990014916,,,1.148059707,0.831970124,49.74912036,,,53.73998985,45.75825087,4271.088714,790.7161892,848.9391166,,,,,22.44647408,19.99608994,,,2.141299986,1.818759676,,,1.070649993,0.909379838,,,51.78527775,47.71296298,No,7,370,251,17305,3,339,297,17294,0,0,0,0
F04,POS,,,,RSV,23.66394234,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,473.2788391,,,26.33134651,21.00218582,16258,303,15955,0,2.238397121,,,2.605214131,1.871580042,2,,1986.62207,,,2.587296427,29.06001401,SC2,1.119198543,,,1.302607065,0.935790021,52.81234959,,,56.89626011,48.72843907,3534.379924,722.5399788,774.94418,,,,,25.02415657,22.30519867,,,2.425548413,2.05124576,,,1.212774206,1.02562288,,,54.89597488,50.7287243,No,4,333,245,15676,2,301,265,15690,0,0,0,0
F05,POS,,,,RSV,26.92279816,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,538.4559326,,,29.7109623,24.14079857,16953,359,16594,0.185519782,2.706777811,,,3.135985555,2.277570253,2,,1986.62207,,,2.679678291,28.92722619,SC2,1.353388952,,,1.567992778,1.138785126,57.50808641,,,61.38289308,53.63327973,3571.028815,727.7860876,787.9951443,,,,,28.34455872,25.50264359,,,2.925760986,2.487794822,,,1.462880493,1.243897411,,,59.48502485,55.53114796,No,2,325,226,16400,8,351,256,16338,0,0,0,0
F06,POS,,,,RSV,24.22035599,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,484.4071045,,,26.79000473,21.65594673,17933,342,17591,0,2.259918928,,,2.609381732,1.910456296,2,,1986.62207,,,2.712137617,30.05762413,SC2,1.129959507,,,1.304690866,0.955228148,53.05075065,,,56.9022352,49.19926609,3517.869212,726.9567431,780.1821969,,,,,25.53074455,22.91132927,,,2.438216253,2.081621775,,,1.219108127,1.040810887,,,55.01579306,51.08570823,No,7,370,251,17305,3,339,297,17294,0,0,0,0
F04,POS,,,,SC2,21.14365005,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,422.8729858,,,23.66359901,18.62874222,16258,271,15987,,,,,,,,,4765.88623,,,5.805574866,59.6544239,,,,,,,,,,,,7728.02531,653.2251847,771.1530254,,,,,22.42870712,19.85990715,,,,,,,,,,,,,No,4,333,245,15676,2,301,265,15690,0,0,0,0
