Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmBBbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
D07,POS,,,,FluA,18.75963402,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,375.192688,,,21.15032387,16.37348175,16010,237,15773,0,2.511740923,,,2.991843979,2.031638063,2,,2645.484863,,,3.998934002,53.01189011,SC2,1.25587051,,,1.49592199,1.015819031,55.67121449,,,60.38832501,50.95410396,4142.337312,693.0914503,744.1514921,,,,,19.97880554,17.54164314,,,2.756691399,2.266790643,,,1.378345699,1.133395322,,,58.07790244,53.26452654,No,1,236,224,15549,6,254,189,15561,0,0,0,0
E07,POS,,,,FluA,19.23661613,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,384.7323303,,,21.59995842,16.87770462,16802,255,16547,0.008950741,2.479382515,,,2.934632808,2.02413231,2,,2645.484863,,,3.994653674,53.26973577,SC2,1.23969128,,,1.467316404,1.012066155,55.35098926,,,59.88877387,50.81320465,4254.185872,694.9541545,748.9717767,,,,,20.44184875,18.03253746,,,2.711652896,2.247112222,,,1.355826448,1.123556111,,,57.66618351,53.035795,No,3,252,187,16360,3,297,207,16295,0,0,0,0
F07,POS,,,,FluA,19.98324013,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,399.6647949,,,22.48295403,17.48848343,15608,246,15362,0.071618256,2.43912077,,,2.893051415,1.985190346,2,,2645.484863,,,3.924008304,47.16072549,SC2,1.21956044,,,1.446525707,0.992595173,54.94603428,,,59.55311106,50.33895749,4223.121914,691.1119905,746.7805221,,,,,21.25798416,18.70978546,,,2.670718015,2.207523746,,,1.335359008,1.103761873,,,57.29658288,52.59548567,No,4,242,195,15167,2,260,196,15150,0,0,0,0
D07,POS,,,,FluB,15.41467953,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,308.2935791,,,17.58013725,13.25294209,16010,195,15815,0.229042785,2.063882589,,,2.476798515,1.650966755,2,,2387.959961,,,3.528792863,29.28425775,SC2,1.031941318,,,1.238399258,0.825483378,50.78598032,,,55.78643237,45.78552827,3832.661558,694.5444679,732.7663813,,,,,16.51903915,14.31128788,,,2.274553919,1.853211351,,,1.13727696,0.926605676,,,53.33723036,48.23473028,No,1,236,224,15549,6,254,189,15561,0,0,0,0
E07,POS,,,,FluB,15.82047272,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,316.4094543,,,17.96207237,13.68251228,16802,210,16592,0,2.039080143,,,2.430999859,1.647160651,2,,2387.959961,,,3.992081854,30.10557912,SC2,1.019540127,,,1.21549993,0.823580325,50.48377666,,,55.28842956,45.67912376,3869.035929,693.772612,733.4586789,,,,,16.91267014,14.7292223,,,2.23903909,1.83912142,,,1.119519545,0.91956071,,,52.93512838,48.03242493,No,3,252,187,16360,3,297,207,16295,0,0,0,0
F07,POS,,,,FluB,16.05906105,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,321.1812134,,,18.29795265,13.82414818,15608,198,15410,0,1.960142136,,,2.344352287,1.575931999,2,,2387.959961,,,4.142733529,29.18296713,SC2,0.980071072,,,1.172176143,0.787966,49.49676229,,,54.39655011,44.59697448,3845.460529,698.0701955,737.9973666,,,,,17.20085526,14.91830349,,,2.15616762,1.764116666,,,1.07808381,0.882058333,,,51.99665268,46.99687191,No,4,242,195,15167,2,260,196,15150,0,0,0,0
D07,POS,,,,RSV,20.59517097,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,411.9034119,,,23.10112,18.09420586,16010,260,15750,0.229042785,2.757502317,,,3.2741347,2.240870094,2,,1605.351196,,,1.760100125,23.16968404,SC2,1.378751198,,,1.63706735,1.120435047,57.96113521,,,62.52626912,53.3960013,2818.059077,631.3939364,666.9050505,,,,,21.87309265,19.3185463,,,3.021090206,2.493914587,,,1.510545103,1.246957294,,,60.29028428,55.63198614,No,1,236,224,15549,6,254,189,15561,0,0,0,0
E07,POS,,,,RSV,22.66206551,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,453.2413025,,,25.22916985,20.10018539,16802,300,16502,0,2.920884371,,,3.438915507,2.402853084,2,,1605.351196,,,1.71750274,24.70635781,SC2,1.460442148,,,1.719457754,1.201426542,59.35689848,,,63.63547807,55.07831889,2838.566396,631.5320922,670.9387278,,,,,23.97115707,21.35433197,,,3.185185638,2.656582953,,,1.592592819,1.328291477,,,61.53984481,57.17395215,No,3,252,187,16360,3,297,207,16295,0,0,0,0
F07,POS,,,,RSV,21.29402351,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,425.8804626,,,23.87517929,18.71815681,15608,262,15346,0,2.599112988,,,3.076112988,2.122112831,2,,1605.351196,,,1.775499889,23.77817766,SC2,1.299556455,,,1.538056494,1.061056415,56.51335291,,,61.02359967,52.00310616,2812.772021,632.5516804,669.1494334,,,,,22.61027718,19.97914696,,,2.842480091,2.355745728,,,1.421240045,1.177872864,,,58.81449727,54.21220855,No,4,242,195,15167,2,260,196,15150,0,0,0,0
D07,POS,,,,SC2,14.93755436,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,298.7510986,,,17.06900406,12.80970955,16010,189,15821,,,,,,,,,3169.453613,,,6.690481534,46.35788618,,,,,,,,,,,,6307.263915,610.0676245,677.3237206,,,,,16.02457809,13.85146904,,,,,,,,,,,,,No,1,236,224,15549,6,254,189,15561,0,0,0,0
